group,n,mean_correlation_pnl,mean_volatility_pnl,mean_residual_pnl,mean_cost,mean_net_pnl,check,mean_index_leg_pnl,mean_constituent_leg_pnl,volatility_share_of_gross
All trades,124,946.4117362974104,-48.00815750993704,-192.0559710923645,722.0921839703584,-15.744576275249607,-3.552713678800501e-14,720.8830174094213,-14.535409714312216,0.04046281844426307
short_correlation,72,1034.476688097816,13.759729947093478,375.03190507221257,729.1198381611954,694.1484849559266,0.0,4188.505923554811,-2765.237600437689,0.009667699142603048
long_correlation,52,824.4756491891566,-133.53292475813316,-977.254568858702,712.3615858599688,-998.6734302876473,-1.1368683772161603e-13,-4080.441006484195,3794.129162056517,0.06899988007032473
