date,implied_correlation,implied_correlation_3m,implied_correlation_6m,dispersion_index,index_iv,trailing_realized_correlation,forward_realized_correlation,identity_realized_correlation,correlation_spread,correlation_premium,constituents_used,in_sample,spread_mean_lagged,spread_sd_lagged,spread_zscore,signal
2022-06-23,0.5119,0.4917,0.5057,0.31379999999999997,0.2905,0.49515579078603555,0.39023578317018914,0.5200991676923652,0.016744209213964467,0.12166421682981088,46,False,0.03885195949281633,0.09251415995167206,-0.23896612464946557,no_trade
2022-06-24,0.4672,0.48219999999999996,0.49920000000000003,0.30010000000000003,0.2723,0.5038742532277529,0.3238890794396597,0.5286038039361224,-0.03667425322775292,0.14331092056034028,46,False,0.03907076874313874,0.09239586150211779,-0.8197880374669759,no_trade
2022-06-27,0.418,0.45770000000000005,0.4825,0.3155,0.2695,0.5042791193042543,0.34100611723001245,0.5291323657720206,-0.0862791193042543,0.07699388276998753,46,False,0.03917476561567118,0.09229534538687748,-1.3592655663625968,long_correlation
2022-06-28,0.4462,0.478,0.5008,0.32420000000000004,0.2836,0.5032675792146459,0.31029451005058223,0.529002218212967,-0.05706757921464595,0.13590548994941776,46,False,0.03922780772196198,0.09221905680677882,-1.0442026872858827,long_correlation
2022-06-29,0.44789999999999996,0.4779,0.4966,0.32939999999999997,0.2816,0.5022687068693887,0.2954915391778927,0.5288666175847645,-0.05436870686938877,0.15240846082210724,46,False,0.0394218812519322,0.09196337131462913,-1.0198689628334796,long_correlation
2022-06-30,0.43420000000000003,0.48450000000000004,0.5035000000000001,0.34149999999999997,0.2871,0.500933101541526,0.2961513953414603,0.5274814575021903,-0.06673310154152601,0.13804860465853974,46,False,0.03957706634841526,0.09177101263589281,-1.1584286239897283,long_correlation
2022-07-01,0.4057,0.4725,0.4899,0.33659999999999995,0.267,0.5007499874272535,0.31273380478851626,0.5246650825718036,-0.09504998742725351,0.09296619521148375,46,False,0.03973075442653071,0.09155933424127052,-1.4720589983607764,long_correlation
2022-07-05,0.41869999999999996,0.4689,0.484,0.35259999999999997,0.2754,0.5006265338043455,0.32699788662907947,0.5247447952582603,-0.08192653380434556,0.09170211337092049,46,False,0.039764306370251884,0.09150817120195287,-1.3298357794303777,long_correlation
2022-07-06,0.40950000000000003,0.46840000000000004,0.48369999999999996,0.35810000000000003,0.2673,0.5007654758403864,0.328018720962447,0.5256022918915371,-0.09126547584038641,0.08148127903755303,46,False,0.03990574096982948,0.0912913169669532,-1.4368422010791995,long_correlation
2022-07-07,0.4143,0.47450000000000003,0.4888,0.34759999999999996,0.2608,0.5037122051524547,0.3195987584121152,0.5290353064103579,-0.08941220515245474,0.09470124158788479,46,False,0.039957390869620184,0.09121306369761407,-1.418323108309966,long_correlation
