group,n,first_entry,last_exit,mean_net_pnl,median_net_pnl,total_net_pnl,mean_return_on_capital,median_return_on_capital,sd_return_on_capital,win_rate,annualized_mean_return,sharpe_like_ratio,worst_trade_return,best_trade_return,expected_shortfall_return,mean_entry_zscore,mean_entry_implied_correlation,mean_correlation_change,mean_cost,mean_capital,cost_share_of_capital,cost_multiple,is_baseline
0.5x costs,124,2013-04-01,2026-04-08,345.3015157099296,206.2789974242071,42817.387948031275,0.0024856041849577455,0.0018412215809600336,0.0362121410977369,0.532258064516129,0.029827250219492944,0.23777620462887789,-0.12776085561428596,0.1396588322206902,-0.05918903011938858,0.13523940005607588,0.32906209677419357,-0.009143443741899217,361.0460919851792,111195.06884122726,0.0032340156211765644,0.5,False
1x costs,124,2013-04-01,2026-04-08,-15.744576275249607,-157.17146626938165,-1952.3274581309513,-0.000748411436218819,-0.0013961238560190894,0.03618523968344171,0.47580645161290325,-0.008980937234625829,-0.07164725970240107,-0.1308228174333458,0.1355273158956435,-0.06240059648977003,0.13523940005607588,0.32906209677419357,-0.009143443741899217,722.0921839703584,111195.06884122726,0.006468031242353129,1.0,True
2x costs,124,2013-04-01,2026-04-08,-737.8367602456083,-779.38282413346,-91491.75827045542,-0.0072164426785719495,-0.0073076176337308184,0.03614926705025559,0.3951612903225806,-0.0865973121428634,-0.6915352032901968,-0.13694674107146554,0.1272642832455501,-0.06912065111753306,0.13523940005607588,0.32906209677419357,-0.009143443741899217,1444.1843679407168,111195.06884122726,0.012936062484706258,2.0,False
3x costs,124,2013-04-01,2026-04-08,-1459.928944215966,-1471.6235910220676,-181031.1890827798,-0.01368447392092508,-0.012933586069569673,0.03613712228694252,0.33064516129032256,-0.16421368705110095,-1.311792561548703,-0.14307066470958524,0.11900125059545671,-0.0758843077883509,0.13523940005607588,0.32906209677419357,-0.009143443741899217,2166.2765519110753,111195.06884122726,0.01940409372705939,3.0,False
