group,n,first_date,last_date,mean_implied_correlation,mean_forward_realized_correlation,mean_correlation_premium,median_correlation_premium,sd_correlation_premium,pct_positive_premium,mean_trailing_realized_correlation,mean_identity_realized_correlation,mean_implied_correlation_3m,mean_implied_correlation_6m,mean_dispersion_index,mean_index_iv
All days,3372,2013-01-02,2026-05-29,0.307541103202847,0.30924674871507546,-0.0017056455122284827,0.00533451949533198,0.14119400902433835,0.5210557532621589,0.31270227433560555,0.306732745267525,0.34955829397874855,0.3824566755083997,0.2524182208994709,0.1775664603595638
In sample,2015,2013-01-02,2020-12-31,0.3499162779156328,0.34320578807012175,0.006710489845511,0.018773254517089444,0.16279634472752572,0.5488833746898263,0.35283346909931707,0.3417019448424177,0.4036371641791045,0.44630233250620344,0.21590133657351154,0.16668411910669975
Out of sample,1357,2021-01-04,2026-05-29,0.24461849668386146,0.2588212039100509,-0.014202707226189465,-0.005992736595278658,0.09967651809195734,0.4797347089167281,0.25401986689810274,0.25559853834197427,0.2706769230769231,0.28909746008708276,0.29603708272859214,0.19347931785195938
