group,n,first_entry,last_exit,mean_net_pnl,median_net_pnl,total_net_pnl,mean_return_on_capital,median_return_on_capital,sd_return_on_capital,win_rate,annualized_mean_return,sharpe_like_ratio,worst_trade_return,best_trade_return,expected_shortfall_return,mean_entry_zscore,mean_entry_implied_correlation,mean_correlation_change,mean_cost,mean_capital,cost_share_of_capital
In sample (to 2020-12-31),75,2013-04-01,2021-01-14,-39.808453322600855,-136.80589092913465,-2985.633999195064,-0.0008295419234916729,-0.0011938261540465262,0.037147080799198484,0.48,-0.009954503081900075,-0.07735782880290251,-0.1308228174333458,0.1355273158956435,-0.06605872471299531,0.14452218379136647,0.37891199999999997,-0.018046575166671915,735.3773999488674,110077.72715481832,0.006641779964960336
Out of sample (after),49,2021-01-27,2026-04-08,21.087888593145056,-313.06573775574884,1033.3065410641077,-0.0006242321189644526,-0.0028183945442802096,0.03504117776497677,0.46938775510204084,-0.007490785427573431,-0.06171035420181908,-0.07172793020241225,0.0919248696910308,-0.0559181082269431,0.12103105760410045,0.2527612244897959,0.004483798234793687,701.7576697175388,112905.28570817974,0.006202089319995162
