regime,n,mean_index_iv,mean_implied_correlation,mean_forward_realized_correlation,mean_premium,median_premium,pct_positive_premium
Low volatility,1133,0.12463751103265668,0.25275101500441305,0.2786958482734547,-0.02594483326904166,-0.00931255128473199,0.4642541924095322
Middle volatility,1118,0.16071735241502685,0.2791648479427549,0.2765994315975542,0.0025654163452007266,0.008805801521221374,0.539355992844365
High volatility,1121,0.24782783229259595,0.39121801962533453,0.3726846351894243,0.01853338443591021,0.021317368402889558,0.56021409455843
