group,n,first_entry,last_exit,mean_net_pnl,median_net_pnl,total_net_pnl,mean_return_on_capital,median_return_on_capital,sd_return_on_capital,win_rate,annualized_mean_return,sharpe_like_ratio,worst_trade_return,best_trade_return,expected_shortfall_return,mean_entry_zscore,mean_entry_implied_correlation,mean_correlation_change,mean_cost,mean_capital,cost_share_of_capital,mean_index_entry_iv,short_correlation_share
Low volatility,36,2013-04-01,2024-07-15,-1137.684040718769,-375.34911773863723,-40956.62546587568,-0.011065938263111719,-0.003459801451329697,0.03726058143934329,0.4166666666666667,-0.13279125915734064,-1.0287959320404958,-0.1308228174333458,0.05130355513700196,-0.08791732205685966,-0.1299627106701221,0.2775944444444444,0.009163308767526773,623.7143289434971,104031.82862764402,0.006004413160297917,0.12745277777777778,0.5
Middle volatility,41,2013-05-01,2026-01-20,184.1992536072386,73.20853339882763,7552.169397896782,0.0017851002336872052,0.0006600980563188024,0.029098513407614587,0.5121951219512195,0.02142120280424646,0.21251149555566104,-0.05838730554156514,0.06392213732274342,-0.04455169765456453,0.08782517228225489,0.29966585365853654,-0.011087298736760696,674.7603253989661,108923.66258539014,0.006209238233730178,0.16345853658536585,0.5853658536585366
High volatility,47,2014-12-10,2026-04-08,669.1942257414456,-298.98357136727407,31452.128609847947,0.004944290421270486,-0.0026238821826563247,0.039829239956745664,0.48936170212765956,0.05933148505524583,0.43002388327353513,-0.06761673999101844,0.1355273158956435,-0.051341628480980804,0.3797342793086246,0.39412765957446827,-0.021469933859984625,838.7349282766157,118663.24552587238,0.00704889856804523,0.25222127659574467,0.6382978723404256
