entry_date,exit_date,direction,entry_zscore,entry_implied_correlation,realized_correlation,correlation_change,index_entry_iv,mean_constituent_entry_iv,index_iv_change,mean_constituent_iv_change,iv_change_spread,legs,gross_vega,index_pnl,constituent_pnl,correlation_pnl,volatility_pnl,residual_pnl,cost,net_pnl,capital,return_on_capital,rebalances,in_sample,attribution_error
2013-04-01,2013-04-30,short_correlation,1.102663144135089,0.35159999999999997,0.36403583930364025,0.012435839303640284,0.1358,0.28672,-0.0006000000000000172,-0.04843999999999998,0.047839999999999966,6,100000.0,-907.6857941264661,1624.4465165881775,-194.64686168215894,1165.4483713095399,-254.0407871656696,884.2481276225939,-167.48740516088253,115632.9739306437,-0.00144843983050493,120,True,0.0
2013-05-01,2013-05-31,short_correlation,1.2353847862003635,0.436,0.2951497077436692,-0.14085029225633078,0.1449,0.24364,0.018100000000000005,0.011800000000000005,0.0063,6,100000.0,2190.843990913364,-4025.5699669487344,207.01475030367646,123.12835312087763,-2164.8690794599247,737.1880672810686,-2571.914043316439,111320.82339754544,-0.023103620372369148,120,True,2.2737367544323206e-13
2013-05-31,2013-07-01,short_correlation,1.9953516236731788,0.4874,0.5272464175035739,0.03984641750357393,0.163,0.25544,0.0007000000000000062,0.043179999999999996,-0.04247999999999999,6,100000.0,80.11308648320318,-4458.246592195077,1187.2537339287423,-623.5140286078133,-4941.873211032803,823.6873316505497,-5201.820837362424,112506.43553483236,-0.04623576253779654,120,True,0.0
2013-07-09,2013-08-07,long_correlation,-0.9074628172630043,0.3667,0.167546429938156,-0.19915357006184403,0.1435,0.29504,-0.01369999999999999,-0.07392000000000004,0.06022000000000005,6,100000.0,-4301.4140616312825,9691.055541428601,4547.46568648366,255.8765142156824,586.2992790979761,800.994549737615,4588.646930059704,101321.85934982053,0.045287827912998437,120,True,0.0
2013-08-19,2013-09-18,short_correlation,1.1399072166712352,0.5018,0.3302486469201786,-0.17155135307982144,0.151,0.23948,-0.015100000000000002,0.008100000000000052,-0.023200000000000054,6,100000.0,4594.341526745696,-3773.4418696925622,1506.7618533803764,50.668625734306026,-736.5308220615489,747.6911236543059,73.20853339882763,110905.54304476042,0.0006600980563188024,120,True,0.0
2013-09-18,2013-10-17,short_correlation,1.268344648596826,0.4334,0.4599492331538698,0.02654923315386981,0.1359,0.24758,-0.0010999999999999899,0.018659999999999982,-0.019759999999999972,6,100000.0,4541.0685535418825,-4595.637396034966,1286.0046297016468,-296.0331530556647,-1044.540319139065,727.982150371649,-782.5509928647322,111711.82891692898,-0.007005086215593622,120,True,1.1368683772161603e-13
2013-10-17,2013-11-15,long_correlation,-1.4270949288760724,0.32439999999999997,0.22138584406956974,-0.10301415593043023,0.1348,0.26624,-0.012900000000000009,-0.06389999999999996,0.05099999999999995,6,100000.0,-2691.8516847766437,-5697.141543046602,3156.2897967913345,-769.990535404937,-10775.292489209643,751.4919189044123,-9140.485146727659,100438.84315197112,-0.0910054801497211,120,True,0.0
2013-11-19,2013-12-19,short_correlation,0.8900696456900024,0.4629,0.2979008992026431,-0.16499910079735686,0.13390000000000002,0.20850000000000005,0.007599999999999996,0.03923999999999997,-0.031639999999999974,6,100000.0,3683.4205358085746,-2211.171220346112,1775.4915596689598,-380.25780806198145,77.01556385548429,681.6145100508157,790.6348054116469,107799.70569178725,0.007334294656352495,120,True,0.0
2013-12-20,2014-01-23,long_correlation,-0.9084803656020081,0.3145,0.318680313406149,0.004180313406148994,0.1379,0.243,-0.00020000000000000573,0.029039999999999955,-0.02923999999999996,6,100000.0,-6361.085319624223,8488.401854893027,-3446.3782707010255,-155.89352988835108,5729.5883358581805,724.5990446576141,1402.7174906111898,100737.76102039704,0.013924445772893168,120,True,0.0
2014-01-29,2014-02-28,short_correlation,0.9001449996037879,0.4592,0.4069785071809301,-0.052221492819069903,0.17350000000000002,0.29416,-0.0335,-0.07733999999999996,0.04383999999999996,6,100000.0,3015.440515826136,-3288.9458113408136,-4305.264165077708,337.3632543871964,3694.395615175834,790.5814620397007,-1064.0867575543782,116391.69513332089,-0.009142291091606835,120,True,0.0
2014-03-14,2014-04-14,short_correlation,1.275047944784096,0.5531,0.4218872025137772,-0.13121279748622283,0.1782,0.2462,-0.017100000000000004,0.08252000000000001,-0.09962000000000001,6,100000.0,2370.2726242984713,-1409.899279205596,6481.706061635372,-161.39996957097122,-5359.932746971526,800.9241816232044,159.4491634696709,111585.727468783,0.0014289386921304795,120,True,4.547473508864641e-13
2014-04-14,2014-05-14,long_correlation,-1.2885763718316874,0.3729,0.20140065801688015,-0.17149934198311986,0.1611,0.32872,-0.03939999999999999,-0.1355,0.09610000000000002,6,100000.0,-5720.533360747371,4343.145073106845,6464.766027270659,148.79018474473145,-7990.944499655916,830.3378602473236,-2207.7261478878495,103108.84103639403,-0.021411608604043904,120,True,0.0
2014-05-15,2014-06-16,short_correlation,1.2221956265250877,0.47619999999999996,0.24064157927917498,-0.23555842072082497,0.1317,0.19932,-0.00520000000000001,0.03836000000000003,-0.04356000000000004,6,100000.0,3392.1360399757186,-1060.0027359327655,2756.860962477325,132.81916139083776,-557.5468198252097,622.4921293608296,1709.6411746821236,106880.6157089508,0.015995802076381082,120,True,0.0
2014-06-18,2014-07-18,long_correlation,-1.5345009327441894,0.2447,0.2751333619453314,0.03043336194533139,0.1061,0.2321,0.014499999999999999,0.0009200000000000041,0.013579999999999995,6,100000.0,-1347.7213575898406,4144.289540379836,-1233.7118955913556,-246.04453766285354,4276.324616044205,683.5583605935342,2113.009822196461,97551.30023234236,0.021660498805898123,120,True,4.547473508864641e-13
2014-07-25,2014-08-25,short_correlation,0.9809067114464677,0.3736,0.4436487225333135,0.07004872253331351,0.12689999999999999,0.2027,-0.009899999999999992,-0.0022800000000000042,-0.007619999999999988,6,100000.0,4644.067135009039,-5569.680034281861,-127.04674800446604,-68.78097928147302,-729.7851719868827,640.911371104621,-1566.524270377443,107217.65773837025,-0.014610692897246784,120,True,1.1368683772161603e-13
2014-09-18,2014-10-17,long_correlation,-1.0066009315149431,0.2809,0.5485359611531707,0.26763596115317073,0.12029999999999999,0.22756,0.0996,0.09135999999999997,0.008240000000000025,6,100000.0,4502.3339551527815,-673.6501285852289,260.2684635483715,-1713.7914261389649,5282.2067891581455,665.8525558553795,3162.831270712173,98968.91850653851,0.03195782391522462,120,True,0.0
2014-11-07,2014-12-09,long_correlation,-1.150109089644753,0.37929999999999997,0.10397033130025116,-0.27532966869974884,0.13119999999999998,0.214,0.01770000000000002,0.030980000000000035,-0.013280000000000014,6,100000.0,-6185.0636206134,4790.294690757685,-656.8578811056308,-148.25038450651695,-589.6606642435675,650.8809743956893,-2045.6499042514047,100054.22943074291,-0.020445411612183714,120,True,0.0
2014-12-10,2015-01-12,short_correlation,1.4040544893931433,0.5284,0.5801867147746087,0.05178671477460872,0.18530000000000002,0.26974,0.010699999999999987,0.07935999999999999,-0.06866,6,100000.0,3479.2763513338205,-2930.599014974629,4106.568961354349,1296.3381516401355,-4854.229776635293,847.6609077264656,-298.98357136727407,113947.02603018317,-0.0026238821826563247,120,True,4.547473508864641e-13
2015-01-15,2015-02-17,short_correlation,1.0975903806998637,0.522,0.3946001552842901,-0.12739984471570992,0.22390000000000002,0.36398,-0.06590000000000001,-0.13646000000000003,0.07056000000000001,6,100000.0,4814.8872454338,-2330.8478602793725,-5623.310059474408,1353.4509857941239,6753.898458834712,958.9159263233925,1525.123458831035,123408.71956674068,0.012358311991125009,120,True,4.547473508864641e-13
2015-02-24,2015-03-25,long_correlation,-1.2583329736771738,0.3652,0.457410419099486,0.09221041909948596,0.1369,0.21984,0.017499999999999988,0.038079999999999975,-0.020579999999999987,6,100000.0,-2233.709917479507,2018.0445122235833,-1317.5865761994132,388.2588049380008,713.6623660054886,698.9474189713521,-914.612824227276,100626.52164462341,-0.009089182546300851,120,True,0.0
2015-03-25,2015-04-24,long_correlation,-1.1353481485859065,0.3614,0.3145483182421089,-0.04685168175789112,0.15439999999999998,0.25792,-0.031499999999999986,-0.025120000000000003,-0.006379999999999983,6,100000.0,-5476.568972748275,4863.439233628435,-4618.166179367663,-32.876306194686066,4037.912746442509,713.3136561598102,-1326.4433952796498,102393.91459567599,-0.012954318628381305,120,True,1.1368683772161603e-13
2015-04-24,2015-05-26,long_correlation,-1.4866908931565375,0.2658,0.3573216663042222,0.0915216663042222,0.1229,0.2328,0.017700000000000007,-0.025520000000000015,0.04322000000000002,6,100000.0,-3488.724936354084,6555.317811420781,3622.1628792966553,54.944770243702294,-610.5147744736605,653.6715220450869,2412.9213530216102,99234.10759747686,0.024315443665892972,120,True,0.0
2015-05-26,2015-06-24,short_correlation,0.8857848441539576,0.4819,0.48104020874706305,-0.0008597912529369478,0.1406,0.20728,-0.008000000000000007,0.005679999999999991,-0.013679999999999998,6,100000.0,7971.620792555459,-6795.92541909435,523.8186137176549,-33.03856135390096,684.915321097355,670.1249114019515,505.5704620591573,107678.5702382804,0.004695181789100538,120,True,0.0
2015-06-29,2015-07-29,short_correlation,1.3565565731507738,0.5266,0.3762567777122134,-0.15034322228778657,0.1885,0.26172,-0.0635,-0.04474,-0.01876,6,100000.0,5456.979033443091,-3256.6008651683615,4647.846652189495,281.37650678963973,-2728.844990704406,775.8654184160149,1424.5127498587144,113143.56566441635,0.012590311623056119,120,True,0.0
2015-07-29,2015-08-27,long_correlation,-1.6558796717627475,0.2918,0.7141866796779204,0.4223866796779204,0.125,0.21698,0.136,0.12609999999999993,0.009900000000000075,6,100000.0,3114.919151020729,-6245.833431065083,-1117.2145609300126,119.3356214880965,-2133.035340602438,618.3181990934281,-3749.232479137782,99434.89086360988,-0.037705401459940516,120,True,0.0
2015-09-08,2015-10-07,long_correlation,-0.9663018272247903,0.5669,0.5289397591709871,-0.03796024082901284,0.249,0.35684,-0.065,-0.005699999999999983,-0.05930000000000002,6,100000.0,-9867.05042652726,13835.64031352239,-1542.3789773432586,198.89678771955167,5312.072076618838,924.3687886593594,3044.2210983357713,111918.4444406121,0.027200352127402405,120,True,0.0
2015-10-07,2015-11-05,long_correlation,-3.1642652357317553,0.3207,0.2621416539458956,-0.05855834605410437,0.184,0.35114,-0.0335,-0.11599999999999996,0.08249999999999996,6,100000.0,-4380.964524265034,5010.216259550395,4288.9439977702605,220.00413931128068,-3879.69640179618,805.0577429990095,-175.80600771364846,105410.80654061984,-0.0016678176885583545,120,True,0.0
2015-11-05,2015-12-07,long_correlation,-1.764665765511408,0.355,0.4679401838320677,0.11294018383206772,0.1505,0.23514,0.00789999999999999,0.01016000000000003,-0.0022600000000000398,6,100000.0,-2294.993478916767,3756.878729312442,-5.089826648271696,610.626993960342,856.3480830836047,713.1586058071977,748.7266445884774,101993.2098845106,0.007340945984897219,120,True,0.0
2015-12-07,2016-01-07,short_correlation,0.8048758029680763,0.4575,0.642528777318238,0.18502877731823797,0.15839999999999999,0.2453,0.0915,0.13597999999999996,-0.044479999999999964,6,100000.0,-437.8441948520821,1465.9571805120456,2282.677411525778,-376.3667996857704,-878.1976261800442,705.1907418200933,322.92224383987013,111489.97113385837,0.002896424140716294,120,True,2.2737367544323206e-13
2016-01-08,2016-02-09,short_correlation,0.7872845002357188,0.5264,0.4449531400421618,-0.08144685995783818,0.2701,0.3785,-0.0047000000000000375,0.011840000000000017,-0.016540000000000055,6,100000.0,4415.580804166989,4091.5427361453994,1349.4058998544674,-19.59830394657174,7177.315944404492,1012.5349570091876,7494.588583303201,124882.17645978583,0.0600132764799834,120,True,0.0
2016-02-09,2016-03-10,short_correlation,0.840672986184349,0.5613,0.39939622516720025,-0.16190377483279977,0.26539999999999997,0.39034,-0.08489999999999998,-0.10392000000000001,0.019020000000000037,6,100000.0,5954.235214383637,-10296.758876684622,-2878.36943769988,161.05087634664048,-1625.2051009477454,949.7794102173236,-5292.303072518309,126069.6157961756,-0.041979211557800704,120,True,0.0
2016-03-29,2016-04-27,long_correlation,-1.104630946379607,0.2547,0.279676474921909,0.02497647492190902,0.1382,0.2751,-0.0005000000000000004,-0.013419999999999987,0.012919999999999987,6,100000.0,-4647.685233352228,3983.874808444857,-1713.739491964963,189.81540423366775,860.113662823924,714.2890698728054,-1378.0994947801767,100782.1029797782,-0.013674049796883983,120,True,0.0
