entry_date,exit_date,direction,entry_zscore,entry_implied_correlation,realized_correlation,correlation_change,index_entry_iv,mean_constituent_entry_iv,index_iv_change,mean_constituent_iv_change,iv_change_spread,legs,gross_vega,index_pnl,constituent_pnl,correlation_pnl,volatility_pnl,residual_pnl,cost,net_pnl,capital,return_on_capital,rebalances,in_sample,attribution_error
2018-02-05,2018-03-07,short_correlation,4.660773758800973,0.8294,0.5634918086961455,-0.26590819130385457,0.3732,0.319,-0.19559999999999997,-0.060260000000000036,-0.13533999999999993,6,100000.0,18837.030600732407,-1729.118797623269,11411.47259970624,829.1551894985382,4867.28401390436,983.120461378143,16124.791341730996,118978.16491951438,0.1355273158956435,120,True,0.0
2026-02-05,2026-03-09,short_correlation,0.8990610615505561,0.17370000000000002,0.08602246443051016,-0.08767753556948986,0.2177,0.3821,0.0373,-0.011719999999999953,0.04901999999999995,6,100000.0,12797.013385516617,-495.73261761910965,-1382.5703433415465,-1263.4854355174707,14947.336546756525,790.1071308529705,11511.173637044538,125223.71449352943,0.0919248696910308,120,False,0.0
2018-10-10,2018-11-08,short_correlation,1.2219544281048103,0.2908,0.40354215375666697,0.11274215375666696,0.2296,0.37856,-0.06240000000000001,-0.10108,0.03867999999999999,6,100000.0,3935.736503087009,5216.682339572604,-1699.7310507799775,-533.9785146071472,11386.128408046738,922.492614016968,8229.926228642646,124870.62402216095,0.06590762473631966,120,True,1.8189894035458565e-12
2016-10-28,2016-11-29,short_correlation,1.2496710432733225,0.4978,0.1958643397919174,-0.3019356602080826,0.16190000000000002,0.2141,-0.03290000000000001,0.0063,-0.03920000000000001,6,100000.0,4934.4682209428975,2616.941918891915,3154.5410060109116,699.50646818847,3697.3626656354304,624.3624607756316,6927.04767905918,108366.9596979284,0.06392213732274342,120,True,0.0
2016-01-08,2016-02-09,short_correlation,0.7872845002357188,0.5264,0.4449531400421618,-0.08144685995783818,0.2701,0.3785,-0.0047000000000000375,0.011840000000000017,-0.016540000000000055,6,100000.0,4415.580804166989,4091.5427361453994,1349.4058998544674,-19.59830394657174,7177.315944404492,1012.5349570091876,7494.588583303201,124882.17645978583,0.0600132764799834,120,True,0.0
2020-06-11,2020-07-13,short_correlation,1.875695826311958,0.7501000000000001,0.44025741865722334,-0.30984258134277676,0.4079,0.44606,-0.08600000000000002,0.04159999999999997,-0.1276,6,100000.0,18915.40727314182,-10713.700119072642,4600.190452172823,292.47002894374964,3309.046672952605,1090.3256936580447,7111.381460411133,131749.96039143496,0.053976346097432626,120,True,0.0
2025-11-04,2025-12-04,short_correlation,0.9909808247781583,0.16269999999999998,0.19625275002876408,0.033552750028764095,0.19,0.30714,-0.032200000000000006,-0.03290000000000004,0.0007000000000000339,6,100000.0,9211.507697348885,-2285.5802884920104,90.08940600732399,488.7127606702627,6347.125242179288,695.9993070259184,6229.928101830956,117693.79842921036,0.052933359148724296,120,False,0.0
2021-01-27,2021-02-26,short_correlation,1.5832575579966115,0.3222,0.2882539281628618,-0.03394607183713816,0.3721,0.43902,-0.09260000000000002,-0.08542,-0.00718000000000002,6,100000.0,22283.052403936523,-14402.897333722374,3294.515292193686,1297.696659456359,3287.9431185641033,979.391130150182,6900.763940063966,131016.24695782115,0.05267105492867286,120,False,0.0
2022-01-27,2022-02-28,short_correlation,2.163256458470137,0.414,0.3482001107572375,-0.06579988924276248,0.3049,0.4193,-0.003400000000000014,-0.06372000000000005,0.06032000000000004,6,100000.0,8688.345847840905,-928.9398314800134,-4783.025270751011,-197.0233082649925,12739.454595376894,1009.0499261637981,6750.356090197093,128994.70030463475,0.05233049167334322,120,False,9.094947017729282e-13
2025-12-17,2026-01-20,short_correlation,0.9283220730530328,0.1946,0.10271653960244895,-0.09188346039755105,0.17620000000000002,0.2878,0.024699999999999972,0.09026,-0.06556000000000003,6,100000.0,6426.213092944133,195.2546775586265,5637.59336807721,712.9617725322624,270.912629893287,611.290844308504,6010.1769261942545,115751.7536651309,0.05192298808346056,120,False,0.0
