group,n,first_entry,last_exit,mean_net_pnl,median_net_pnl,total_net_pnl,mean_return_on_capital,median_return_on_capital,sd_return_on_capital,win_rate,annualized_mean_return,sharpe_like_ratio,worst_trade_return,best_trade_return,expected_shortfall_return,mean_entry_zscore,mean_entry_implied_correlation,mean_correlation_change,mean_cost,mean_capital,cost_share_of_capital
All trades,124,2013-04-01,2026-04-08,-15.744576275249607,-157.17146626938165,-1952.3274581309513,-0.000748411436218819,-0.0013961238560190894,0.03618523968344171,0.47580645161290325,-0.008980937234625829,-0.07164725970240107,-0.1308228174333458,0.1355273158956435,-0.06240059648977003,0.13523940005607588,0.32906209677419357,-0.009143443741899217,722.0921839703584,111195.06884122726,0.006468031242353129
short_correlation,72,2013-04-01,2026-04-08,694.1484849559266,143.25984863552276,49978.690916826716,0.005676140892220551,0.0012741531160992577,0.03531154646135821,0.5277777777777778,0.0681136907066466,0.5568356756622878,-0.06761673999101844,0.1355273158956435,-0.049077402132579065,1.1950770578769536,0.3619916666666667,-0.021191451936222058,729.1198381611954,115855.50741438913,0.00625448250111002
long_correlation,52,2013-07-09,2025-07-29,-998.6734302876473,-1352.2714450299131,-51931.01837495766,-0.009643945429442562,-0.012798359606381596,0.035819768843108425,0.40384615384615385,-0.11572734515331075,-0.9326583620558407,-0.1308228174333458,0.05130355513700196,-0.07533658222298792,-1.3322281261574473,0.2834673076923077,0.007538413757932417,712.3615858599688,104742.15389377237,0.006763714114843591
